vendorID,tpepPickupDateTime,tpepDropoffDateTime,passengerCount,tripDistance,puLocationId,doLocationId,startLon,startLat,endLon,endLat,rateCodeId,storeAndFwdFlag,paymentType,fareAmount,extra,mtaTax,improvementSurcharge,tipAmount,tollsAmount,totalAmount
2,2016-01-03 20:40:45,2016-01-03 20:53:40,5,3.52,,,-73.97250366210938,40.74345016479492,-74.00353240966797,40.72378158569336,1,N,1,14.0,0.5,0.5,0.3,3.06,0.0,18.36
2,2016-01-08 09:49:02,2016-01-08 09:55:34,6,0.63,,,-73.9811019897461,40.75593948364258,-73.97435760498047,40.75606918334961,1,N,1,5.5,0.0,0.5,0.3,5.0,0.0,11.3
2,2016-01-20 16:04:13,2016-01-20 16:17:50,1,1.84,,,-74.0057144165039,40.74573516845703,-73.98274993896484,40.75071716308594,1,N,1,10.5,1.0,0.5,0.3,2.46,0.0,14.76
2,2016-01-07 00:08:29,2016-01-07 00:18:53,1,2.93,,,-73.99473571777344,40.72126770019531,-73.94402313232422,40.711639404296875,1,N,2,11.5,0.5,0.5,0.3,0.0,0.0,12.8
2,2016-01-22 01:10:04,2016-01-22 01:19:53,1,2.77,,,-73.98921203613281,40.741798400878906,-73.96184539794922,40.761112213134766,1,N,1,10.0,0.5,0.5,0.3,2.26,0.0,13.56
1,2016-01-01 22:49:12,2016-01-01 22:55:24,1,1.0,,,-73.97855377197266,40.76466751098633,-73.99205017089844,40.763999938964844,1,N,1,6.0,0.5,0.5,0.3,1.45,0.0,8.75
2,2016-01-25 12:47:48,2016-01-25 13:11:13,1,1.03,,,-73.98298645019531,40.73902893066406,-73.97395324707031,40.75172805786133,1,N,2,14.5,0.0,0.5,0.3,0.0,0.0,15.3
2,2016-01-10 12:51:16,2016-01-10 13:11:37,6,8.94,,,-73.87071228027344,40.77373123168945,-73.96851348876953,40.76148986816406,1,N,2,26.5,0.0,0.5,0.3,0.0,5.54,32.84
1,2016-01-08 21:40:39,2016-01-08 21:44:52,1,1.0,,,-73.9797134399414,40.743167877197266,-73.9862289428711,40.730403900146484,1,N,1,5.5,0.5,0.5,0.3,1.0,0.0,7.8
1,2016-01-14 15:52:17,2016-01-14 16:07:14,1,0.7,,,-73.97713470458984,40.765899658203125,-73.96803283691406,40.76833724975586,1,N,2,10.0,0.0,0.5,0.3,0.0,0.0,10.8
2,2016-01-04 17:30:35,2016-01-04 17:31:55,1,0.3,,,-73.97977447509766,40.76153564453125,-73.97976684570312,40.76544952392578,1,N,2,3.0,1.0,0.5,0.3,0.0,0.0,4.8
2,2016-01-02 12:44:20,2016-01-02 12:46:28,1,0.87,,,-73.99617767333984,40.74327850341797,-74.00350189208984,40.732269287109375,1,N,1,4.5,0.0,0.5,0.3,1.06,0.0,6.36
2,2016-01-26 07:46:12,2016-01-26 07:59:33,2,3.02,,,-74.01604461669922,40.71101760864258,-74.00670623779297,40.75135803222656,1,N,1,13.0,0.0,0.5,0.3,3.45,0.0,17.25
1,2016-01-15 21:50:14,2016-01-15 21:53:40,3,0.7,,,-73.96293640136719,40.763301849365234,-73.95768737792969,40.77031326293945,1,N,1,4.5,0.5,0.5,0.3,1.15,0.0,6.95
2,2016-01-03 14:45:04,2016-01-03 15:18:26,1,17.45,,,-73.98619842529297,40.74964904785156,-73.78053283691406,40.64606857299805,2,N,2,52.0,0.0,0.5,0.3,0.0,5.54,58.34
1,2016-01-28 19:57:21,2016-01-28 20:02:23,1,0.8,,,-73.9889144897461,40.73678970336914,-73.98100280761719,40.74490737915039,1,N,1,5.5,0.5,0.5,0.3,1.35,0.0,8.15
1,2016-01-20 09:24:24,2016-01-20 09:41:59,1,2.8,,,-74.0052719116211,40.74098587036133,-74.01683807373047,40.704803466796875,1,N,2,14.0,0.0,0.5,0.3,0.0,0.0,14.8
2,2016-01-17 08:56:56,2016-01-17 09:05:14,1,1.35,,,-73.98046875,40.78070068359375,-73.98162078857422,40.76462173461914,1,N,1,7.5,0.0,0.5,0.3,1.66,0.0,9.96
2,2016-01-02 11:49:29,2016-01-02 12:04:27,1,3.79,,,-73.96380615234375,40.770591735839844,-73.9631118774414,40.81109619140625,1,N,2,14.5,0.0,0.5,0.3,0.0,0.0,15.3
1,2016-01-21 16:37:39,2016-01-21 16:45:38,1,0.7,,,-73.97811126708984,40.748779296875,-73.98432922363281,40.75474548339844,1,N,2,6.5,1.0,0.5,0.3,0.0,0.0,8.3
1,2016-01-27 04:16:40,2016-01-27 04:24:42,1,1.6,,,-73.9791030883789,40.7666015625,-73.97726440429688,40.74958419799805,1,N,1,8.0,0.5,0.5,0.3,1.85,0.0,11.15
2,2016-01-02 03:24:57,2016-01-02 03:26:29,1,0.45,,,-73.96141815185547,40.76036071777344,-73.95658111572266,40.76704025268555,1,N,2,3.5,0.5,0.5,0.3,0.0,0.0,4.8
1,2016-01-14 19:50:20,2016-01-14 19:56:21,1,1.2,,,-73.97126007080078,40.75891876220703,-73.9830322265625,40.74219512939453,1,N,1,6.0,1.0,0.5,0.3,1.2,0.0,9.0
2,2016-01-28 23:54:48,2016-01-29 00:01:43,2,1.41,,,-73.9842300415039,40.74419021606445,-73.98419952392578,40.759212493896484,1,N,2,7.0,0.5,0.5,0.3,0.0,0.0,8.3
2,2016-01-17 22:11:40,2016-01-17 22:34:29,1,6.68,,,-74.00377655029297,40.722511291503906,-73.95488739013672,40.7789192199707,1,N,1,23.5,0.5,0.5,0.3,1.08,0.0,25.88
1,2016-01-16 06:08:12,2016-01-16 06:14:01,1,1.3,,,-73.9959487915039,40.73842239379883,-73.98530578613281,40.727630615234375,1,N,2,6.5,0.0,0.5,0.3,0.0,0.0,7.3
1,2016-01-28 09:56:03,2016-01-28 10:07:18,1,0.4,,,-73.9825210571289,40.742374420166016,-73.98780822753906,40.73813247680664,1,N,2,8.0,0.0,0.5,0.3,0.0,0.0,8.8
1,2016-01-11 20:40:05,2016-01-11 20:55:58,1,3.3,,,-74.00540161132812,40.72221374511719,-73.97296905517578,40.68750762939453,1,N,1,14.0,0.5,0.5,0.3,3.05,0.0,18.35
2,2016-01-14 09:55:58,2016-01-14 10:05:58,2,1.27,,,-73.99539947509766,40.73939895629883,-73.98384094238281,40.75532913208008,1,N,1,8.0,0.0,0.5,0.3,1.0,0.0,9.8
2,2016-01-02 18:31:31,2016-01-02 18:53:05,4,5.97,,,-73.9810562133789,40.74462127685547,-74.01434326171875,40.71398162841797,1,N,2,21.0,0.0,0.5,0.3,0.0,0.0,21.8
2,2016-01-07 17:47:51,2016-01-07 18:00:25,3,2.04,,,-73.99226379394531,40.72490692138672,-73.9909896850586,40.745365142822266,1,N,2,10.5,1.0,0.5,0.3,0.0,0.0,12.3
